164,44.21,   Ian Morris                 ,    TTO   ,  30.11.61 ,   3s2  ,  Barcelona               ,    03.08.1992
164,44.21,   Steve Lewis                ,    USA   ,  16.05.69 ,2,  Barcelona               ,    05.08.1992
164,44.21,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Zürich                  ,    28.08.2009
164,44.21,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Des Moines              ,    22.06.2013
164,44.21,   LaShawn Merritt            ,    USA   ,  27.06.86 ,   2s1  ,  Rio de Janeiro          ,    13.08.2016
170,44.22,   Roberto Hernández          ,    CUB   ,  06.03.67 ,1,  Ciudad de México        ,    22.05.1988
170,44.22,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Köln                    ,    08.09.1991
170,44.22,   Quincy Watts               ,    USA   ,  19.06.70 ,3,  New Orleans             ,    26.06.1992
170,44.22,   Michael Johnson            ,    USA   ,  13.09.67 ,   1r1  ,  Zürich                  ,    04.08.1993
170,44.22,   Harry Reynolds             ,    USA   ,  08.06.64 ,2,  Göteborg                ,    09.08.1995
170,44.22,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  Split                   ,    04.09.2010
170,44.22,   Kirani James               ,    GRN   ,  01.09.92 ,1,  Des Moines              ,    24.04.2015
170,44.22,   LaShawn Merritt            ,    USA   ,  27.06.86 ,2,  Des Moines              ,    29.04.2016
170,44.22,   Baboloki Thebe             ,    BOT   ,  18.03.97 ,1,  Gaborone                ,    21.05.2016
170,44.22,   Kirani James               ,    GRN   ,  01.09.92 ,1,  Eugene                  ,    28.05.2016
170,44.22,   Gil Roberts                ,    USA   ,  15.03.89 ,2,  Sacramento              ,    24.06.2017
170,44.22,   Wayde van Niekerk          ,    RSA   ,  15.07.92 ,   1s2  ,  London                  ,    06.08.2017
182,44.23,   Innocent Egbunike          ,    NGR   ,  30.11.61 ,1,  Nairobi                 ,    09.08.1987
182,44.23,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Norman                  ,    11.04.1992
182,44.23,   LaShawn Merritt            ,    USA   ,  27.06.86 ,   2rA  ,  London                  ,    03.08.2007
182,44.23,   Isaac Makwala              ,    BOT   ,  29.09.86 ,1,  Marrakesh               ,    12.08.2014
182,44.23,   Kirani James               ,    GRN   ,  01.09.92 ,1,  Birmingham              ,    05.06.2016
182,44.23,   Isaac Makwala              ,    BOT   ,  29.09.86 ,2,  Shanghai                ,    12.05.2018
188,44.24,   Samson Kitur               ,    KEN   ,  25.02.66 ,3,  Barcelona               ,    05.08.1992
188,44.24,   Quincy Watts               ,    USA   ,  19.06.70 ,3,  Eugene                  ,    19.06.1993
188,44.24,   Harry Reynolds             ,    USA   ,  08.06.64 ,2,  Oslo                    ,    21.07.1995
188,44.24,   Kirani James               ,    GRN   ,  01.09.92 ,1,  Glasgow                 ,    30.07.2014
188,44.24,   Wayde van Niekerk          ,    RSA   ,  15.07.92 ,1,  New York City           ,    13.06.2015
188,44.24,   Tony McQuay                ,    USA   ,  16.04.90 ,   1s1  ,  Eugene                  ,    02.07.2016
194,44.25,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Köln                    ,    19.08.1990
194,44.25,   Ian Morris                 ,    TTO   ,  30.11.61 ,4,  Barcelona               ,    05.08.1992
194,44.25,   Michael Johnson            ,    USA   ,  13.09.67 ,   1h7  ,  Arlington               ,    06.05.1995
194,44.25,   Alvin Harrison             ,    USA   ,  20.01.74 ,   1q3  ,  Sydney                  ,    23.09.2000
194,44.25,   Karabo Sibanda             ,    BOT   ,  02.07.98 ,5,  Rio de Janeiro          ,    14.08.2016
199,44.26,   Alberto Juantorena         ,    CUB   ,  03.12.50 ,1,  Montréal                ,    29.07.1976
199,44.26,   Innocent Egbunike          ,    NGR   ,  30.11.61 ,   1s1  ,  Roma                    ,    01.09.1987
199,44.26,   Steve Lewis                ,    USA   ,  16.05.69 ,   3rA  ,  Zürich                  ,    17.08.1988
199,44.26,   Alvin Harrison             ,    USA   ,  20.01.74 ,1,  Roodepoort              ,    16.03.1998
199,44.26,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  Berlin                  ,    03.09.2006
199,44.26,   Luguelin Santos            ,    DOM   ,  12.11.93 ,   2s1  ,  Beijing                 ,    24.08.2015
199,44.26,   Steven Gardiner            ,    BAH   ,  12.09.95 ,   1rB  ,  St. George's            ,    08.04.2017
199,44.26,   Baboloki Thebe             ,    BOT   ,  18.03.97 ,3,  Monaco                  ,    21.07.2017
207,44.27,   Alberto Juantorena         ,    CUB   ,  03.12.50 ,1,  Medellín                ,    16.07.1978
207,44.27,   Alonzo Babers              ,    USA   ,  31.10.61 ,1,  Los Angeles             ,    08.08.1984
207,44.27,   Antonio Pettigrew          ,    USA   ,  03.11.67 ,1,  Houston                 ,    17.06.1989
207,44.27,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Lausanne                ,    12.07.1990
207,44.27,   Steve Lewis                ,    USA   ,  16.05.69 ,1,  Sestriere               ,    21.07.1992
207,44.27,   Darold Williamson          ,    USA   ,  19.02.83 ,   1s1  ,  Sacramento              ,    10.06.2005
207,44.27,   Steven Gardiner            ,    BAH   ,  12.09.95 ,1,  Nassau                  ,    27.06.2015
207,44.27,   Abdalelah Haroun           ,    QAT   ,  01.01.97 ,   2rA  ,  La Chaux-de-Fonds       ,    05.07.2015
215,44.28,   Andrew Valmon              ,    USA   ,  01.01.65 ,4,  Eugene                  ,    19.06.1993
